#Selection name: Selection 1
#Area (µm^2): 14920.96
"#Panel genes not included: "
Gene,Count,Density (µm^-2)
ABCC11,0,0
ACE2,0,0
ACKR1,0,0
ACTA2,19,0.0012733761304001587
ACTG2,393,0.02633877996038223
ADAM28,5,0.00033509898168425226
ADAMTS1,10,0.0006701979633685045
ADGRE1,0,0
ADGRL4,4,0.0002680791853474018
ADH1C,2,0.0001340395926737009
ADH4,0,0
ADIPOQ,0,0
AGER,0,0
AGR3,0,0
AHSP,0,0
AIF1,2,0.0001340395926737009
ALAS2,0,0
ALDH1A3,3,0.00020105938901055135
AMY2A,10,0.0006701979633685045
ANGPT2,0,0
ANPEP,0,0
APCDD1,1,0.00006701979633685046
APOA5,0,0
APOBEC3A,0,0
APOLD1,1,0.00006701979633685046
AQP2,0,0
AQP3,0,0
AQP8,0,0
AQP9,0,0
AR,12,0.0008042375560422054
ARFGEF3,0,0
ASCL1,1,0.00006701979633685046
ASCL3,0,0
ASPN,0,0
BAMBI,0,0
BANK1,0,0
BASP1,0,0
BBOX1,0,0
BCL2L11,20,0.001340395926737009
BMX,0,0
BTNL9,8,0.0005361583706948036
C15orf48,0,0
C1orf162,7,0.00046913857435795315
C1orf194,0,0
C20orf85,0,0
C5orf46,1,0.00006701979633685046
C6orf118,0,0
C7,0,0
CA4,0,0
CAPN8,1,0.00006701979633685046
CAV1,10,0.0006701979633685045
CAVIN1,36,0.002412712668126616
CAVIN2,2,0.0001340395926737009
CCDC39,1,0.00006701979633685046
CCDC78,0,0
CCL19,0,0
CCL27,0,0
CCL5,0,0
CCNB2,0,0
CCR2,0,0
CCR7,1,0.00006701979633685046
CD14,4,0.0002680791853474018
CD163,12,0.0008042375560422054
CD19,0,0
CD1A,0,0
CD1C,0,0
CD1E,0,0
CD2,0,0
CD247,0,0
CD27,0,0
CD274,0,0
CD28,0,0
CD300E,0,0
CD34,16,0.0010723167413896073
CD3D,1,0.00006701979633685046
CD3E,0,0
CD4,1,0.00006701979633685046
CD5L,0,0
CD68,6,0.0004021187780211027
CD69,0,0
CD70,0,0
CD79A,0,0
CD83,0,0
CD86,4,0.0002680791853474018
CD8A,0,0
CD93,7,0.00046913857435795315
CDH16,0,0
CDK1,0,0
CENPF,0,0
CFAP53,1,0.00006701979633685046
CFB,1,0.00006701979633685046
CFHR1,0,0
CFHR3,2,0.0001340395926737009
CFTR,0,0
CHGA,0,0
CLCA1,0,0
CLCA2,1,0.00006701979633685046
CLEC10A,5,0.00033509898168425226
CLEC14A,6,0.0004021187780211027
CLEC4E,6,0.0004021187780211027
CLECL1,0,0
CLIC6,1,0.00006701979633685046
CNN1,6,0.0004021187780211027
COCH,0,0
COL17A1,0,0
COL5A2,16,0.0010723167413896073
CPA3,0,0
CRHBP,0,0
CRISPLD2,3,0.00020105938901055135
CSF2RA,0,0
CSF3,0,0
CTLA4,0,0
CTSG,0,0
CTSK,2,0.0001340395926737009
CXCL10,0,0
CXCL2,2,0.0001340395926737009
CXCL6,0,0
CXCL9,1,0.00006701979633685046
CXCR4,1,0.00006701979633685046
CYP1A1,0,0
CYP2A7,0,0
CYP2B6,0,0
CYP2F1,0,0
CYP3A4,0,0
CYP4B1,4,0.0002680791853474018
CYTIP,1,0.00006701979633685046
DERL3,0,0
DES,3805,0.25501032506171595
DIRAS3,0,0
DMBT1,0,0
DNAAF1,1,0.00006701979633685046
DNASE1L3,0,0
DPEP1,0,0
DPT,20,0.001340395926737009
DST,113,0.007573236986064101
